epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1639.79,1.25083,0.82284,1.24313,0.73227,0.44737,0.55421,0.29055,1.58424,1.31723,1.4701,0.000581,0.000581,0.000581
45,1680.7,1.21664,0.80986,1.21291,0.8317,0.5204,0.56845,0.27777,1.79739,1.24329,1.5115,0.000548,0.000548,0.000548
46,1721.8,1.25494,0.81977,1.25037,0.69594,0.54231,0.58106,0.30366,1.60536,1.29543,1.46485,0.000515,0.000515,0.000515
47,1762.52,1.19564,0.80051,1.22602,0.7026,0.63158,0.64523,0.35475,1.54593,1.15349,1.47834,0.000482,0.000482,0.000482
48,1803.37,1.17808,0.78043,1.20841,0.54315,0.65789,0.57133,0.27205,1.72874,1.24571,1.58936,0.000449,0.000449,0.000449
49,1844.84,1.16385,0.76783,1.20518,0.7005,0.57895,0.58356,0.26645,1.83291,1.22334,1.69819,0.000416,0.000416,0.000416
50,1880.86,1.16893,0.77873,1.21436,0.78768,0.57895,0.63863,0.31537,1.73439,1.09628,1.6326,0.000383,0.000383,0.000383
51,1914.88,1.08359,0.68214,1.17678,0.6311,0.67544,0.55872,0.27873,1.68135,1.15227,1.6214,0.00035,0.00035,0.00035
52,1948.87,1.04672,0.64296,1.14036,0.69315,0.57895,0.62415,0.31022,1.71506,1.16061,1.62279,0.000317,0.000317,0.000317
53,1982.56,1.03423,0.61343,1.13424,0.70169,0.60526,0.6502,0.31522,1.71521,1.1746,1.65761,0.000284,0.000284,0.000284
54,2017.28,0.99841,0.614,1.11135,0.70196,0.55797,0.516,0.28829,1.69742,1.16086,1.55489,0.000251,0.000251,0.000251
55,2056.76,0.98532,0.60473,1.10496,0.69098,0.58863,0.55351,0.29414,1.67942,1.19902,1.65216,0.000218,0.000218,0.000218
56,2095.65,0.97254,0.57956,1.10338,0.66866,0.63158,0.553,0.30955,1.62229,1.0624,1.55359,0.000185,0.000185,0.000185
57,2134.41,0.95895,0.56517,1.08821,0.63647,0.60526,0.56264,0.30153,1.59597,1.17474,1.59762,0.000152,0.000152,0.000152
58,2180.37,0.91347,0.543,1.05797,0.70581,0.63158,0.60273,0.29652,1.61444,1.11612,1.59188,0.000119,0.000119,0.000119
59,2222.49,0.92007,0.56554,1.06844,0.62757,0.62098,0.58507,0.31896,1.65759,1.10827,1.63861,8.6e-05,8.6e-05,8.6e-05
60,2263.3,0.90957,0.53767,1.05404,0.7665,0.60472,0.59473,0.30922,1.6696,1.09845,1.60747,5.3e-05,5.3e-05,5.3e-05
